young,mature,old
0.371262161,0.071242338,0.040398916
0.401751478,0.058673516,0.008852586
0.370292009,0.060610305,0.02926151
0.265662548,0.024793247,0.022495501
0.407114764,0.099682872,0.023285571
0.377717645,0.088107481,0.024912458
0.314736856,0.062157843,0.012528947
0.386347783,0.081567767,0.024800349
0.372478329,0.072869629,0.020454148
0.367966751,0.058124812,0.049197826
0.350948375,0.085165727,0.027941672
0.384144182,0.062420349,0.023971997
0.301959102,0.062097788,0.024461626
0.338693813,0.053916547,0.021807302
0.318248893,0.075937618,0.019150608
0.387483244,0.066152465,0.023710035
0.351672116,0.077532655,0.029699688
0.330396519,0.057182544,0.024754908
0.299047812,0.070143575,0.032965192
0.332655162,0.052148524,0.025020859
0.349649465,0.082762462,0.026558593
0.331475984,0.071224357,0.037001059
0.432010972,0.073741222,0.030133156
0.413607273,0.075152658,0.022924718
0.175481755,0.050056372,0.025137277
0.228139278,0.081733298,0.030101721
0.337934059,0.104220834,0.039672598
0.322087257,0.038972864,0.024541697
0.362811509,0.037366556,0.024720558
0.36304714,0.041332136,0.033270972
0.48477262,0.082762355,0.020308331
0.277904575,0.07017691,0.024390026
0.32494289,0.086945187,0.03244896
0.479964672,0.080660587,0.030375039
0.390548404,0.071622305,0.027020179
0.391596264,0.072919556,0.030991022
0.316206571,0.064906491,0.006982439
0.24357103,0.083239138,0.033401323
0.359853856,0.047955832,0.019806064
0.356110172,0.060455,0.014940372
0.270517765,0.072193835,0.028289346
0.305368245,0.099713128,0.031199935
0.344513672,0.05440536,0.023339664
0.288617932,0.048850295,0.019004733
0.342833914,0.057957693,0.026571395
0.355243526,0.085019251,0.026030096
0.351407219,0.06375441,0.036038712
0.316700688,0.091289075,0.031521557
0.387156715,0.034839413,0.027722256
0.406205984,0.087831265,0.034021232
0.369677861,0.086177495,0.024981597
0.296721453,0.042853629,0.020037657
0.395989289,0.070615991,0.030400489
0.317011429,0.08937163,0.030390058
0.405436994,0.069456533,0.02491773
0.280481465,0.085556563,0.021019689
0.407698332,0.109839251,0.027964782
0.347842933,0.072741109,0.009276519
0.269147327,0.062953158,0.031128422
0.329023142,0.05428903,0.029764357
0.352593146,0.079347446,0.015144633
0.366599879,0.064430269,0.026813169
0.286220176,0.06474782,0.01977549
0.278202255,0.066045429,0.031588903
0.361911084,0.079379319,0.012431622
0.319233301,0.049074916,0.020115929
0.364211779,0.040889896,0.031261943
0.397774147,0.024927282,0.034328473
0.243525415,0.089069917,0.011581722
0.365421178,0.069207105,0.022974056
0.427564918,0.094569399,0.0286433
0.330071786,0.067745932,0.022211053
0.297196415,0.054799281,0.037308654
0.397308149,0.076343238,0.018216718
0.36536087,0.066551701,0.028825251
0.406508044,0.045757959,0.019196899
0.32701738,0.052275791,0.036041215
0.254219554,0.099101436,0.026243508
0.342081932,0.074161116,0.023837347
0.320573292,0.075256531,0.014600207
0.398786391,0.063020798,0.037934459
0.361529887,0.055725181,0.031558415
0.244674327,0.08364872,0.031563804
0.272579424,0.066056612,0.034201372
0.405733438,0.054499935,0.02878884
0.392665981,0.065535671,0.022004954
0.308121266,0.051913111,0.020900049
0.349060796,0.071259863,0.020900332
0.377666341,0.087843705,0.035794898
0.379128621,0.053140693,0.016369513
0.405250073,0.09312896,0.02229922
0.36555552,0.056115411,0.024187405
0.343054346,0.070612994,0.027933659
0.332549109,0.053135372,0.030340719
0.416746839,0.063979906,0.017819555
0.20496386,0.068741136,0.014519028
0.340247288,0.06022852,0.026361805
0.351241581,0.055492658,0.034720781
0.257836336,0.055934132,0.031587785
0.370444223,0.053404239,0.02787211
0.30741432,0.040179992,0.024215463
0.404366369,0.063260627,0.028404561
0.34108397,0.074987633,0.024722093
0.391986312,0.083944419,0.032000584
0.427193221,0.079330461,0.020939813
0.373654081,0.111295126,0.027313388
0.293039239,0.073531282,0.025631817
0.252137951,0.059846248,0.030121172
0.461429803,0.100952946,0.027933793
0.341999859,0.049412559,0.043892972
0.305026335,0.08500522,0.036677359
0.358367437,0.051038368,0.036664198
0.336868338,0.074156897,0.012394997
0.403706506,0.033146612,0.024056509
0.351301023,0.083783235,0.022215209
0.350008612,0.065109782,0.030048165
0.303360125,0.050816998,0.010751155
0.379203159,0.097541192,0.034452677
0.282910233,0.081418525,0.0337148
0.39177727,0.068712944,0.017455996
0.446734065,0.054741223,0.019676327
0.251473933,0.067138394,0.020893661
0.191169391,0.065009466,0.02668924
0.388638203,0.080702006,0.030791081
0.512317309,0.081996296,0.04044673
0.285020115,0.056113001,0.025037033
0.269022633,0.058203429,0.031659465
0.386850617,0.058509001,0.027458731
0.295280912,0.044078167,0.038470464
0.316717736,0.057458196,0.031485525
0.326831527,0.066272361,0.035784454
0.383201969,0.08010474,0.018996022
0.323168913,0.091219018,0.025072753
0.366925982,0.053630507,0.020807185
0.337821258,0.077633089,0.036720545
0.295027951,0.06005597,0.030905479
0.32864354,0.104547237,0.024297896
0.288256183,0.067043732,0.023286816
0.349545246,0.076770515,0.029718352
0.277145889,0.051373558,0.02157774
0.279129594,0.053589124,0.020005474
0.442444364,0.071465566,0.029695084
0.345721594,0.061122541,0.04329656
0.34567562,0.074142363,0.024702887
